,Title,Link,Year,Genre,Original Language,Duration,Director,IMDB Rating,Votes,Description,Critics Review,Primary Genre,Year Range
55,Detour,https://www.rottentomatoes.com//m/detour,1945,"Crime, Drama",English,1h 9m,Edgar G. Ulmer,7.4,16749,"In New York, piano player Al Roberts (Tom Neal) laments when his singer girlfriend, Sue Harvey (Claudia Drake), leaves for Hollywood, Calif. When Al gets some money, he decides to hitchhike to California to join Sue. In Arizona, Al accepts a ride with Charles Haskell (Edmund MacDonald), but during a storm in a freak accident, Haskell is killed. Frightened, Al assumes Haskell's identity and car, but soon comes upon the mysterious Vera (Ann Savage), who seems to know all about his true identity.","Stylish and gripping, Detour offers further proof that a patsy and a femme fatale often add up to a satisfying story.",Crime,Before 1950s
56,Sunrise: A Song of Two Humans,https://www.rottentomatoes.com//m/sunrise,1927,"Romance, Drama",English,1h 50m,F.W. Murnau,8.1,49960,"Bored with his wife (Janet Gaynor), their baby and the dull routine of farm life, a farmer (George O'Brien) falls under the spell of a flirtatious city girl (Margaret Livingston) who convinces him to drown his wife so they can escape together. When his wife becomes suspicious of his plan and runs away to the city, the farmer pursues her, slowly regaining her trust as the two rediscover their love for each other in this award-winning silent classic.","Boasting masterful cinematography to match its well-acted, wonderfully romantic storyline, Sunrise is perhaps the final -- and arguably definitive -- statement of the silent era.",Romance,Before 1950s
57,Eye In The Sky,https://www.rottentomatoes.com//m/eye_in_the_sky,2016,"War, Mystery & thriller, Drama",English,1h 42m,Gavin Hood,7.3,83121,"A lieutenant general (Alan Rickman) and a colonel (Helen Mirren) face political opposition after ordering a drone missile strike to take out a group of suicide bombers in Nairobi, Kenya.","As taut as it is timely, Eye in the Sky offers a powerfully acted -- and unusually cerebral -- spin on the modern wartime political thriller.",War,2011-2020
58,All Is Lost,https://www.rottentomatoes.com//m/all_is_lost_2013,2013,"Mystery & thriller, Adventure, Drama",English,1h 45m,J.C. Chandor,6.9,79079,"During a solo voyage in the Indian Ocean, a veteran mariner (Robert Redford) awakes to find his vessel taking on water after a collision with a stray shipping container. With his radio and navigation equipment disabled, he sails unknowingly into a violent storm and barely escapes with his life. With any luck, the ocean currents may carry him into a shipping lane -- but, with supplies dwindling and the sharks circling, the sailor is forced to face his own mortality.","Anchored by another tremendous performance in a career full of them, All Is Lost offers a moving, eminently worthwhile testament to Robert Redford's ability to hold the screen.",Mystery & thriller,2011-2020
59,The Trial of the Chicago 7,https://www.rottentomatoes.com//m/the_trial_of_the_chicago_7,2020,"History, Drama",English,2h 9m,Aaron Sorkin,7.8,162808,"In 1969, seven people were charged by the federal government with conspiracy and more, arising from the protests at the 1968 Democratic National Convention in Chicago.","An actors' showcase enlivened by its topical fact-based story, The Trial of the Chicago 7 plays squarely -- and compellingly -- to Aaron Sorkin's strengths.",History,2011-2020
60,Eyes Without a Face,https://www.rottentomatoes.com//m/eyes_without_a_face_1962,1962,"Horror, Drama",French (Canada),1h 24m,Georges Franju,7.7,30251,"Dr. G??nessier (Pierre Brasseur) is riddled with guilt after an accident that he caused disfigures the face of his daughter, the once beautiful Christiane (??dith Scob), who outsiders believe is dead. Dr. G??nessier, along with accomplice and laboratory assistant Louise (Alida Valli), kidnaps young women and brings them to the G??nessier mansion. After rendering his victims unconscious, Dr. G??nessier removes their faces and attempts to graft them on to Christiane's.","A horrific tale of guilt and obsession, Eyes Without a Face is just as chilling and poetic today as it was when it was first released.",Horror,1961-1970
61,Looper,https://www.rottentomatoes.com//m/looper,2012,"Mystery & thriller, Action, Sci-fi",English,1h 59m,Rian Johnson,7.4,556039,"In a future society, time-travel exists, but it??s only available to those with the means to pay for it on the black market. When the mob wants to eliminate someone, it sends the target into the past, where a hit man known as a looper lies in wait to finish the job. Joe (Joseph Gordon-Levitt) is one such hired gun, and he does his job well -- until the day his bosses decide to ""lose the loop"" and send Joe??s future self (Bruce Willis) back in time to be killed..","As thought-provoking as it is thrilling, Looper delivers an uncommonly smart, bravely original blend of futuristic sci-fi and good old-fashioned action.",Mystery & thriller,2011-2020
62,Casino Royale,https://www.rottentomatoes.com//m/casino_royale,2006,"Mystery & thriller, Adventure, Action",English,2h 24m,Martin Campbell,8,630963,"After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers a link to Le Chiffre (Mads Mikkelsen), a man who finances terrorist organizations. Learning that Le Chiffre plans to raise money in a high-stakes poker game, MI6 sends Bond to play against him, gambling that their newest ""00"" operative will topple the man??s organization.","Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007.",Mystery & thriller,2001-2010
63,Badlands,https://www.rottentomatoes.com//m/badlands,1974,"Crime, Drama",English,1h 35m,Terrence Malick,7.8,70554,"Inspired by real-life killers Charles Starkweather and Caril-Ann Fugate, this tale of crime and love begins in a dead-end town. Teenage girl Holly (Sissy Spacek) angers her father (Warren Oates) when she begins dating an older and rebellious boy (Martin Sheen). After a conflict between Holly and her father erupts in murder, the young lovers are forced to flee. In the ensuing crime spree, they journey through the Midwest to the Badlands of Montana, eluding authorities along the way.","Terrence Malick's debut is a masterful slice of American cinema, rife with the visual poetry and measured performances that would characterize his work.",Crime,1971-1980
64,Repulsion,https://www.rottentomatoes.com//m/repulsion,1965,Horror,English,1h 45m,Roman Polanski,7.7,51788,"In Roman Polanski's first English-language film, beautiful young manicurist Carole (Catherine Deneuve) suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen (Yvonne Furneaux), leaves their London flat to go on an Italian holiday with her married boyfriend (Ian Hendry), Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness.","Roman Polanski's first English film follows a schizophrenic woman's descent into madness, and makes the audience feel as claustrophobic as the character.",Horror,1961-1970
