,Title,Link,Year,Genre,Original Language,Duration,Director,IMDB Rating,Votes,Description,Critics Review,Primary Genre,Year Range
91,Bullitt,https://www.rottentomatoes.com//m/bullitt,1968,"Crime, Drama",English,1h 53m,Peter Yates,7.4,66261,"Senator Walter Chalmers (Robert Vaughn) is aiming to take down mob boss Pete Ross (Vic Tayback) with the help of testimony from the criminal's hothead brother Johnny (Pat Renella), who is in protective custody in San Francisco under the watch of police lieutenant Frank Bullitt (Steve McQueen). When a pair of mob hitmen enter the scene, Bullitt follows their trail through a maze of complications and double-crosses. This thriller includes one of the most famous car chases ever filmed.",Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.,Crime,1961-1970
92,Border,https://www.rottentomatoes.com//m/border_2018,2018,"Fantasy, Romance, Horror, Mystery & thriller",Swedish,1h 48m,Ali Abbasi,7,27837,"Customs officer Tina is known for her extraordinary sense of smell. It's almost as if she can sniff out the guilt on anyone hiding something. But when Vore, a suspicious-looking man, walks past her, her abilities are challenged for the first time ever. Tina can sense Vore is hiding something she can't identify. Even worse, she feels a strange attraction to him. As Tina develops a special bond with Vore and discovers his true identity, she also realizes the truth about herself.","Thrilling, unpredictable, and brilliantly acted, Border (Gr??ns) offers a singular treat to genre fans looking for something different.",Fantasy,2011-2020
93,Diabolique,https://www.rottentomatoes.com//m/1032980-diabolique,1955,"Mystery & thriller, Horror, Drama",French (France),1h 56m,Henri-Georges Clouzot,8.1,64475,"In this classic of French suspense, the cruel and abusive headmaster of a boarding school, Michel Delassalle (Paul Meurisse), becomes the target of a murder plot hatched by an unlikely duo -- his meek wife (Vera Clouzot) and the mistress he brazenly flaunts (Simone Signoret). The women, brought together by their mutual hatred for the man, pull off the crime but become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.","Cruel, dark, but undeniably effective, Diabolique is a suspense thriller as effective as Hitchcock's best work and with a brilliant twist ending.",Mystery & thriller,1951-1960
94,Who Framed Roger Rabbit,https://www.rottentomatoes.com//m/who_framed_roger_rabbit,1988,Comedy,English,1h 44m,Robert Zemeckis,7.7,192926,"Down-on-his-luck private eye Eddie Valiant (Bob Hoskins) gets hired by cartoon producer R.K. Maroon (Alan Tilvern) to investigate an adultery scandal involving Jessica Rabbit (Kathleen Turner), the sultry wife of Maroon's biggest star, Roger Rabbit (Charles Fleischer). But when Marvin Acme (Stubby Kaye), Jessica's alleged paramour and the owner of Toontown, is found murdered, the villainous Judge Doom (Christopher Lloyd) vows to catch and destroy Roger.","Who Framed Roger Rabbit is an innovative and entertaining film that features a groundbreaking mix of live action and animation, with a touching and original story to boot.",Comedy,1981-1990
95,Wake in Fright,https://www.rottentomatoes.com//m/wake_in_fright,1971,"Mystery & thriller, Drama",English,1h 39m,Ted Kotcheff,7.7,11743,"After finishing up the school term in a remote outback town, teacher John Grant (Gary Bond) looks forward to spending his holiday with his girlfriend in Sydney. But John gets waylaid in a mining town where a gambling spree leaves him completely broke. He quickly falls in with the hard-drinking locals, who constantly ply him with alcohol and force him to participate in a gruesome kangaroo hunt. Disgusted, John tries to hitchhike out of town and, when that fails, begins to contemplate suicide.","A disquieting classic of Australian cinema, Wake in Fright surveys a landscape both sun-drenched and ruthlessly dark.",Mystery & thriller,1971-1980
96,Forbidden Planet,https://www.rottentomatoes.com//m/forbidden_planet,1956,Sci-fi,English,1h 38m,Fred M. Wilcox,7.6,47648,"In this sci-fi classic, a spacecraft travels to the distant planet Altair IV to discover the fate of a group of scientists sent there decades earlier. When Commander John J. Adams (Leslie Nielsen) and his crew arrive, they discover only two people: Dr. Morbius (Walter Pidgeon) and his daughter, Altaira (Anne Francis), who was born on the remote planet. Soon, Adams begins to uncover the mystery of what happened on Altair IV, and why Morbius and Altaira are the sole survivors.","Shakespeare gets the deluxe space treatment in Forbidden Planet, an adaptation of The Tempest with impressive sets and seamless special effects.",Sci-fi,1951-1960
97,Drive,https://www.rottentomatoes.com//m/drive_2011,2011,"Crime, Drama, Action",English,1h 40m,Nicolas Winding Refn,7.8,602551,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.","With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action.",Crime,2011-2020
98,The Dark Knight Rises,https://www.rottentomatoes.com//m/the_dark_knight_rises,2012,"Action, Mystery & thriller, Fantasy, Adventure",English,2h 45m,Christopher Nolan,8.4,1597664,"It has been eight years since Batman (Christian Bale), in collusion with Commissioner Gordon (Gary Oldman), vanished into the night. Assuming responsibility for the death of Harvey Dent, Batman sacrificed everything for what he and Gordon hoped would be the greater good. However, the arrival of a cunning cat burglar (Anne Hathaway) and a merciless terrorist named Bane (Tom Hardy) force Batman out of exile and into a battle he may not be able to win.","The Dark Knight Rises is an ambitious, thoughtful, and potent action film that concludes Christopher Nolan's franchise in spectacular fashion.",Action,2011-2020
99,The Friends of Eddie Coyle,https://www.rottentomatoes.com//m/1211532-friends_of_eddie_coyle,1973,"Crime, Drama",English,1h 40m,Peter Yates,7.5,10055,"Aging Boston gunrunner Eddie Coyle (Robert Mitchum) is looking at several years of jail time for a hold-up if he doesn't funnel information to Dave Foley (Richard Jordan), an ATF agent. Eddie buys some guns from another gunrunner, Jackie Brown (Steven Keats), then gives him up to Foley, but the agent isn't satisfied. Conflicted, Eddie decides to also give up the gang of bank robbers he's been supplying, only to find that Foley already knows about them, and the mob believes Eddie snitched.",The Friends of Eddie Coyle sees Robert Mitchum in transformative late-career mode in a gritty and credible character study.,Crime,1971-1980
105,"Nosferatu, a Symphony of Horror",https://www.rottentomatoes.com//m/nosferatu,1922,"Horror, Fantasy",German,1h 5m,F.W. Murnau,7.9,93418,"In this highly influential silent horror film, the mysterious Count Orlok (Max Schreck) summons Thomas Hutter (Gustav von Wangenheim) to his remote Transylvanian castle in the mountains. The eerie Orlok seeks to buy a house near Hutter and his wife, Ellen (Greta Schroeder). After Orlok reveals his vampire nature, Hutter struggles to escape the castle, knowing that Ellen is in grave danger. Meanwhile Orlok's servant, Knock (Alexander Granach), prepares for his master to arrive at his new home.","One of the silent era's most influential masterpieces, Nosferatu's eerie, gothic feel -- and a chilling performance from Max Schreck as the vampire -- set the template for the horror films that followed.",Horror,Before 1950s
106,King Kong,https://www.rottentomatoes.com//m/1011615-king_kong,1933,"Fantasy, Adventure",English,1h 40m,"Merian C. Cooper, Ernest B. Schoedsack",7.9,83203,"Actress Ann Darrow (Fay Wray) and director Carl Denham (Robert Armstrong) travel to the Indian Ocean to do location shoots for Denham's new jungle picture. Along the way, the actress meets and falls for rugged First Mate John Driscoll (Bruce Cabot). Upon arriving at a mysterious island, Ann is taken hostage by natives who prepare her as a sacrifice to the enormous ape Kong who rules over their jungle. But when Ann is rescued and Kong is captured, the real trouble begins.",King Kong explores the soul of a monster -- making audiences scream and cry throughout the film -- in large part due to Kong's breakthrough special effects.,Fantasy,Before 1950s
108,The Bride of Frankenstein,https://www.rottentomatoes.com//m/bride_of_frankenstein,1935,Horror,English,1h 15m,James Whale,7.8,46678,"After recovering from injuries sustained in the mob attack upon himself and his creation, Dr. Frankenstein (Colin Clive) falls under the control of his former mentor, Dr. Pretorius (Ernest Thesiger), who insists the now-chastened doctor resume his experiments in creating new life. Meanwhile, the Monster (Boris Karloff) remains on the run from those who wish to destroy him without understanding that his intentions are generally good despite his lack of socialization and self-control.","An eccentric, campy, technically impressive, and frightening picture, James Whale's Bride of Frankenstein has aged remarkably well.",Horror,Before 1950s
110,Frankenstein,https://www.rottentomatoes.com//m/1007818-frankenstein,1931,Horror,English,1h 11m,James Whale,7.8,69812,"This iconic horror film follows the obsessed scientist Dr. Henry Frankenstein (Colin Clive) as he attempts to create life by assembling a creature from body parts of the deceased. Aided by his loyal misshapen assistant, Fritz (Dwight Frye), Frankenstein succeeds in animating his monster (Boris Karloff), but, confused and traumatized, it escapes into the countryside and begins to wreak havoc. Frankenstein searches for the elusive being, and eventually must confront his tormented creation.","Still unnerving to this day, Frankenstein adroitly explores the fine line between genius and madness, and features Boris Karloff's legendary, frightening performance as the monster.",Horror,Before 1950s
111,The Lighthouse,https://www.rottentomatoes.com//m/the_lighthouse_2019,2019,"Drama, Mystery & thriller",English,1h 50m,Robert Eggers,7.5,179317,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,"A gripping story brilliantly filmed and led by a pair of powerhouse performances, The Lighthouse further establishes Robert Eggers as a filmmaker of exceptional talent.",Drama,2011-2020
112,It Follows,https://www.rottentomatoes.com//m/it_follows,2015,"Horror, Mystery & thriller",English,1h 41m,David Robert Mitchell,6.8,226644,"After carefree teenager Jay (Maika Monroe) sleeps with her new boyfriend, Hugh (Jake Weary), for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her flee or defend herself.","Smart, original, and above all terrifying, It Follows is the rare modern horror film that works on multiple levels -- and leaves a lingering sting.",Horror,2011-2020
113,Hereditary,https://www.rottentomatoes.com//m/hereditary,2018,"Mystery & thriller, Horror",English,2h 7m,Ari Aster,7.3,277813,"When the matriarch of the Graham family passes away, her daughter and grandchildren begin to unravel cryptic and increasingly terrifying secrets about their ancestry, trying to outrun the sinister fate they have inherited.","Hereditary uses its classic setup as the framework for a harrowing, uncommonly unsettling horror film whose cold touch lingers long beyond the closing credits.",Mystery & thriller,2011-2020
114,Let the Right One In,https://www.rottentomatoes.com//m/let_the_right_one_in,2008,Horror,Swedish,1h 54m,Tomas Alfredson,7.9,211936,"When Oskar (K??re Hedebrant), a sensitive, bullied 12-year-old boy living with his mother in suburban Sweden, meets his new neighbor, the mysterious and moody Eli (Lina Leandersson), they strike up a friendship. Initially reserved with each other, Oskar and Eli slowly form a close bond, but it soon becomes apparent that she is no ordinary young girl. Eventually, Eli shares her dark, macabre secret with Oskar, revealing her connection to a string of bloody local murders.",Let the Right One In reinvigorates the seemingly tired vampire genre by effectively mixing scares with intelligent storytelling.,Horror,2001-2010
117,Aliens,https://www.rottentomatoes.com//m/1000617-aliens,1986,"Action, Horror, Sci-fi",English,2h 17m,James Cameron,8.3,686156,"After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team. Upon arriving at LV-426, the marines find only one survivor, a nine year old girl named Newt (Carrie Henn). But even these battle-hardened marines with all the latest weaponry are no match for the hundreds of aliens that have invaded the colony.","While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.",Action,1981-1990
118,Night of the Living Dead,https://www.rottentomatoes.com//m/night_of_the_living_dead,1968,Horror,English,1h 36m,George A. Romero,7.9,123882,"A disparate group of individuals takes refuge in an abandoned house when corpses begin to leave the graveyard in search of fresh human bodies to devour. The pragmatic Ben (Duane Jones) does his best to control the situation, but when the reanimated bodies surround the house, the other survivors begin to panic. As any semblance of order within the group begins to dissipate, the zombies start to find ways inside -- and one by one, the living humans become the prey of the deceased ones.","George A. Romero's debut set the template for the zombie film, and features tight editing, realistic gore, and a sly political undercurrent.",Horror,1961-1970
122,Pan's Labyrinth,https://www.rottentomatoes.com//m/pans_labyrinth,2006,"Drama, War, Fantasy",Spanish (Spain),2h 0m,Guillermo del Toro,8.2,644466,"In 1944 Spain young Ofelia (Ivana Baquero) and her ailing mother (Ariadna Gil) arrive at the post of her mother's new husband (Sergi L??pez), a sadistic army officer who is trying to quell a guerrilla uprising. While exploring an ancient maze, Ofelia encounters the faun Pan, who tells her that she is a legendary lost princess and must complete three dangerous tasks in order to claim immortality.","Pan's Labyrinth is Alice in Wonderland for grown-ups, with the horrors of both reality and fantasy blended together into an extraordinary, spellbinding fable.",Drama,2001-2010
123,Host,https://www.rottentomatoes.com//m/host_2020,2020,"Horror, Mystery & thriller",English (United Kingdom),57m,Rob Savage,6.5,25387,Six friends accidentally invite the attention of a demonic presence during an online s??ance and begin noticing strange occurrences in their homes.,"Lean, suspenseful, and scary, Host uses its timely premise to deliver a nastily effective treat for horror enthusiasts.",Horror,2011-2020
127,The Witch,https://www.rottentomatoes.com//m/the_witch_2016,2016,"Horror, History, Mystery & thriller, Drama",English,1h 32m,Robert Eggers,6.9,229268,"In 1630 New England, panic and despair envelops a farmer, his wife and their children when youngest son Samuel suddenly vanishes. The family blames Thomasin, the oldest daughter who was watching the boy at the time of his disappearance. With suspicion and paranoia mounting, twin siblings Mercy and Jonas suspect Thomasin of witchcraft, testing the clan's faith, loyalty and love to one another.","As thought-provoking as it is visually compelling, The Witch delivers a deeply unsettling exercise in slow-building horror that suggests great things for debuting writer-director Robert Eggers.",Horror,2011-2020
128,The Invisible Man,https://www.rottentomatoes.com//m/1010695-invisible_man,1933,Sci-fi,English,1h 11m,James Whale,7.7,33588,"While researching a new drug, Dr. Jack Griffin (Claude Rains) stumbles on a potion that can make him invisible. When he reveals his new ability to his old mentor (Henry Travers) and his fianc??e (Gloria Stuart), it's clear that a side effect of the potion is insanity. Jack goes on a violent rampage, and the police struggle to hunt him down, unable to see their target, while his mentor and his former partner (William Harrigan) desperately try to devise a plan to capture him.","James Whale's classic The Invisible Man features still-sharp special effects, loads of tension, a goofy sense of humor, and a memorable debut from Claude Rains.",Sci-fi,Before 1950s
131,Relic,https://www.rottentomatoes.com//m/relic,2020,"Horror, Drama",English,1h 29m,Natalie Erika James,6,24232,A woman links her mother's increasingly volatile behavior to an evil presence at their family's decaying country home.,"Relic ratchets up its slowly building tension in an expertly crafted atmosphere of dread, adding up to an outstanding feature debut for director/co-writer Natalie Erika James.",Horror,2011-2020
133,Young Frankenstein,https://www.rottentomatoes.com//m/young_frankenstein,1974,Comedy,English,1h 45m,Mel Brooks,8,153104,"Respected medical lecturer Dr. Frederick Frankenstein (Gene Wilder) learns that he has inherited his infamous grandfather's estate in Transylvania. Arriving at the castle, Dr. Frankenstein soon begins to recreate his grandfather's experiments with the help of servants Igor (Marty Feldman), Inga (Teri Garr) and the fearsome Frau Bl??cher (Cloris Leachman). After he creates his own monster (Peter Boyle), new complications ensue with the arrival of the doctor's fianc??e, Elizabeth (Madeline Kahn).","Made with obvious affection for the original, Young Frankenstein is a riotously silly spoof featuring a fantastic performance by Gene Wilder.",Comedy,1971-1980
134,The Birds,https://www.rottentomatoes.com//m/1002448-birds,1963,Mystery & thriller,English,1h 59m,Alfred Hitchcock,7.7,181735,Melanie Daniels (Tippi Hedren) meets Mitch Brenner (Rod Taylor) in a San Francisco pet store and decides to follow him home. She brings with her the gift of two love birds and they strike up a romance. One day birds start attacking children at Mitch's sisters party. A huge assault starts on the town by attacking birds.,"Proving once again that build-up is the key to suspense, Alfred Hitchcock successfully turned birds into some of the most terrifying villains in horror history.",Mystery & thriller,1961-1970
135,Ready or Not,https://www.rottentomatoes.com//m/ready_or_not_2019,2019,"Horror, Comedy, Mystery & thriller",English,1h 35m,"Matt Bettinelli-Olpin, Tyler Gillett",6.9,132707,"Grace couldn't be happier after she marries the man of her dreams at his family's luxurious estate. There's just one catch -- she must now hide from midnight until dawn while her new in-laws hunt her down with guns, crossbows and other weapons. As Grace desperately tries to survive the night, she soon finds a way to turn the tables on her not-so-lovable relatives.","Smart, subversive, and darkly funny, Ready or Not is a crowd-pleasing horror film with giddily entertaining bite.",Horror,2011-2020
136,The Vanishing,https://www.rottentomatoes.com//m/the_vanishing,1988,Mystery & thriller,Dutch,1h 46m,George Sluizer,7.7,37382,"Rex (Gene Bervoets) and Saskia (Johanna Ter Steege) are enjoying a biking holiday in France when, stopping at a gas station, Saskia disappears. Confounded, Rex searches everywhere, but to no avail. Three years later, he's still obsessed with finding her, pleading his case on television, putting up posters and ruining his new relationship in the process. Eventually an unassuming chemistry teacher, Raymond (Bernard-Pierre Donnadieu), approaches Rex, intimating that he knows what happened.","A clinical, maddening descent into the mind of a serial killer and a slowly unraveling hero, culminating with one of the scariest endings of all time.",Mystery & thriller,1981-1990
137,Drag Me to Hell,https://www.rottentomatoes.com//m/drag_me_to_hell,2009,"Horror, Mystery & thriller",English,1h 39m,Sam Raimi,6.5,196298,"Christine Brown (Alison Lohman) has a loving boyfriend (Justin Long) and a great job at a Los Angeles bank. But her heavenly life becomes hellish when, in an effort to impress her boss, she denies an old woman's request for an extension on her home loan. In retaliation, the crone places a curse on Christine, threatening her soul with eternal damnation. Christine seeks a psychic's help to break the curse, but the price to save her soul may be more than she can pay.","Sam Raimi returns to top form with Drag Me to Hell, a frightening, hilarious, delightfully campy thrill ride.",Horror,2001-2010
138,A Girl Walks Home Alone at Night,https://www.rottentomatoes.com//m/a_girl_walks_home_alone_at_night,2014,"Horror, Mystery & thriller, Drama",Persian,1h 45m,Ana Lily Amirpour,7,34059,Residents of a worn-down Iranian city encounter a skateboarding vampire (Sheila Vand) who preys on men who disrespect women.,A Girl Walks Home Alone at Night blends conventional elements into something brilliantly original -- and serves as a striking calling card for writer-director Ana Lily Amirpour.,Horror,2011-2020
139,Godzilla,https://www.rottentomatoes.com//m/godzilla_1956,1954,Sci-fi,Japanese,1h 38m,Ishir?? Honda,7.6,32419,A fire-breathing behemoth terrorizes Japan after an atomic bomb awakens it from its centuries-old sleep.,"More than straight monster-movie fare, Gojira offers potent, sobering postwar commentary.",Sci-fi,1951-1960
140,House of Wax,https://www.rottentomatoes.com//m/1010030-house_of_wax,1953,Horror,English,1h 28m,Andre de Toth,7.1,17594,"Wax sculptor Henry (Vincent Price) is horrified to learn that his business partner, Matthew (Roy Roberts), plans on torching their wax museum to collect on the insurance policy. Henry miraculously survives a fiery confrontation with Matthew and re-emerges some years hence with a museum of his own. But when the appearance of Henry's new wax sculptures occurs at the same time that a number of corpses vanish from the city morgue, art student Sue Allen (Phyllis Kirk) begins suspecting wrongdoing.",House of Wax is a 3-D horror delight that combines the atmospheric eerieness of the wax museum with the always chilling presence of Vincent Price.,Horror,1951-1960
141,The Fly,https://www.rottentomatoes.com//m/1007600-fly,1958,"Horror, Sci-fi",English,1h 34m,Kurt Neumann,7.1,22411,"When scientist Andre Delambre (Al Hedison) tests his matter transporter on himself, an errant housefly makes its way into the transportation chamber, and things go horribly wrong. As a result, Delambre's head and arm are now that of the insect. Slowly losing himself to the fly, Delambre turns to his wife, Helene (Patricia Owens), for help. But when tragedy strikes, Delambre's brother (Vincent Price) and Inspector Charas (Herbert Marshall) are forced to pick up the investigation.","Deliciouly funny to some and eerily presicient to others, The Fly walks a fine line between shlocky fun and unnerving nature parable.",Horror,1951-1960
142,Dracula,https://www.rottentomatoes.com//m/1006234-dracula,1931,Horror,English,1h 15m,Tod Browning,7.5,50441,"The dashing, mysterious Count Dracula (Bela Lugosi), after hypnotizing a British soldier, Renfield (Dwight Frye), into his mindless slave, travels to London and takes up residence in an old castle. Soon Dracula begins to wreak havoc, sucking the blood of young women and turning them into vampires. When he sets his sights on Mina (Helen Chandler), the daughter of a prominent doctor, vampire-hunter Van Helsing (Edward Van Sloan) is enlisted to put a stop to the count's never-ending bloodlust.",Bela Lugosi's timeless portrayal of Dracula in this creepy and atmospheric 1931 film has set the standard for major vampiric roles since.,Horror,Before 1950s
143,Midsommar,https://www.rottentomatoes.com//m/midsommar,2019,"Horror, Mystery & thriller",English,2h 25m,Ari Aster,7.1,266782,"A young American couple, their relationship foundering, travel to a fabled Swedish midsummer festival where a seemingly pastoral paradise transforms into a sinister, dread-soaked nightmare as the locals reveal their terrifying agenda.","Ambitious, impressively crafted, and above all unsettling, Midsommar further proves writer-director Ari Aster is a horror auteur to be reckoned with.",Horror,2011-2020
144,Carrie,https://www.rottentomatoes.com//m/1003625-carrie,1976,Horror,English,1h 38m,Brian De Palma,7.4,178784,"In this chilling adaptation of Stephen King's horror novel, withdrawn and sensitive teen Carrie White (Sissy Spacek) faces taunting from classmates at school and abuse from her fanatically pious mother (Piper Laurie) at home. When strange occurrences start happening around Carrie, she begins to suspect that she has supernatural powers. Invited to the prom by the empathetic Tommy Ross (William Katt), Carrie tries to let her guard down, but things eventually take a dark and violent turn.","Carrie is a horrifying look at supernatural powers, high school cruelty, and teen angst -- and it brings us one of the most memorable and disturbing prom scenes in history.",Horror,1971-1980
145,Nosferatu the Vampyre,https://www.rottentomatoes.com//m/nosferatu_the_vampyre,1979,Horror,German,1h 47m,Werner Herzog,7.5,34871,"Jonathan Harker is sent away to Count Dracula's castle to sell him a house in Virna, where he lives. But Count Dracula is a vampire, an undead ghoul living off men's blood. Inspired by a photograph of Lucy Harker, Jonathan's wife, Dracula moves to Virna, bringing with him death and plague... An unusually contemplative version of Dracula, in which the vampire bears the cross of not being able to get old and die.",Stunning visuals from Werner Herzog and an intense portrayal of the famed bloodsucker from Klaus Kinski make this remake of Nosferatu a horror classic in its own right.,Horror,1971-1980
146,The Evil Dead,https://www.rottentomatoes.com//m/the-evil-dead,1981,Horror,English,1h 25m,Sam Raimi,7.5,198759,"Ashley ""Ash"" Williams (Bruce Campbell), his girlfriend and three pals hike into the woods to a cabin for a fun night away. There they find an old book, the Necronomicon, whose text reawakens the dead when it??s read aloud. The friends inadvertently release a flood of evil and must fight for their lives or become one of the evil dead. Ash watches his friends become possessed, and must make a difficult decision before daybreak to save his own life in this, the first of Sam Raimi??s trilogy.","This classic low budget horror film combines just the right amount of gore and black humor, giving The Evil Dead an equal amount of thrills and laughs.",Horror,1981-1990
147,Evil Dead 2: Dead by Dawn,https://www.rottentomatoes.com//m/evil_dead_2_dead_by_dawn,1987,"Horror, Comedy",English,1h 25m,Sam Raimi,7.7,156748,"The second of three films in the Evil Dead series is part horror, part comedy, with Ash Williams (Bruce Campbell) once again battling horrifying demons at a secluded cabin in the woods. After discovering an audiotape left by a college professor that contains voices reading from the Book of the Dead, Ash's girlfriend Linda (Denise Bixler) becomes possessed by evil spirits that are awakened by the voices on the tape. Ash soon discovers there is no escaping the woods.",Evil Dead 2's increased special effects and slapstick-gore makes it as good -- if not better -- than the original.,Horror,1981-1990
148,La Llorona,https://www.rottentomatoes.com//m/la_llorona_2019,2020,"Horror, Mystery & thriller, Crime, Drama",Spanish,1h 37m,Jayro Bustamante,6.6,5370,"Alma is murdered with her children during a military attack in Guatemala, but when the general who ordered the genocide is found not guilty 30 years later, Alma returns to the world of the living to torment the man.",La Llorona puts a fresh spin on the familiar legend by blending the supernatural and the political to resolutely chilling effect.,Horror,2011-2020
149,The Innocents,https://www.rottentomatoes.com//m/1099622-innocents,1961,Horror,English,1h 40m,Jack Clayton,7.8,29274,"Based on the Henry James story ""The Turn of the Screw,"" a psychological thriller about a woman who takes a governess job for two orphans in a Victorian home. She begins to see what she believes are ghosts and suspects the children??s bizarre behavior is the result of supernatural powers.","Creepily atmospheric, The Innocents is a stylishly crafted, chilling British ghost tale with Deborah Kerr at her finest.",Horror,1961-1970
150,The Loved Ones,https://www.rottentomatoes.com//m/the_loved_ones_2012,2012,"Horror, Mystery & thriller",English,1h 24m,Sean Byrne,6.6,39748,"After a classmate (Xavier Samuel) declines her invitation to the school dance, a teenager (Robin McLeavy) kidnaps him and makes him the guest of honor at her own twisted prom.","Successfully mixing the conventions of the teen and horror genres with a twist, Australian director Sean Byrne makes a striking directorial debut with The Loved Ones.",Horror,2011-2020
151,The Fly,https://www.rottentomatoes.com//m/1007602-fly,1986,"Sci-fi, Horror",English,1h 35m,David Cronenberg,7.6,171582,"When scientist Seth Brundle (Jeff Goldblum) completes his teleportation device, he decides to test its abilities on himself. Unbeknownst to him, a housefly slips in during the process, leading to a merger of man and insect. Initially, Brundle appears to have undergone a successful teleportation, but the fly's cells begin to take over his body. As he becomes increasingly fly-like, Brundle's girlfriend (Geena Davis) is horrified as the person she once loved deteriorates into a monster.","David Cronenberg combines his trademark affinity for gore and horror with strongly developed characters, making The Fly a surprisingly affecting tragedy.",Sci-fi,1981-1990
152,Spontaneous,https://www.rottentomatoes.com//m/spontaneous,2020,"Horror, Comedy",English,1h 42m,Brian Duffield,6.5,10823,"When students in their high school inexplicably start to explode, seniors Mara and Dylan struggle to survive in a world where each moment may be their last. As an unexpected romance blossoms between them, they soon discover that when tomorrow is no longer promised, they can finally start living for today.","A dark teen comedy with an explosive twist, Spontaneous reaffirms Katherine Langford as a rising star -- and marks debuting director Brian Duffield as a filmmaker to watch.",Horror,2011-2020
153,Dead of Night,https://www.rottentomatoes.com//m/1005405-dead_of_night,1945,Horror,English (United Kingdom),1h 44m,"Alberto Cavalcanti, Basil Dearden, Robert Hamer, Charles Crichton",7.6,12141,"Architect Walter Craig (Mervyn Johns) goes to Pilgrim's Farm to see a potential client. When he arrives at the house, he gets the feeling that he has been there before. Once inside, he meets a group of people who seem oddly familiar. He tells them that he has dreamt about each one of them and begins to list events that occurred in the dream. Walter's revelations begin a conversation amongst the group, and each person admits to having experienced a strange, unexplainable event.","With four accomplished directors contributing, Dead of Night is a classic horror anthology that remains highly influential.",Horror,Before 1950s
154,A Nightmare on Elm Street,https://www.rottentomatoes.com//m/nightmare_on_elm_street,1984,Horror,English,1h 31m,Wes Craven,7.5,224744,"In Wes Craven's classic slasher film, several Midwestern teenagers fall prey to Freddy Krueger (Robert Englund), a disfigured midnight mangler who preys on the teenagers in their dreams -- which, in turn, kills them in reality. After investigating the phenomenon, Nancy (Heather Langenkamp) begins to suspect that a dark secret kept by her and her friends' parents may be the key to unraveling the mystery, but can Nancy and her boyfriend Glen (Johnny Depp) solve the puzzle before it's too late?","Wes Craven's intelligent premise, combined with the horrifying visual appearance of Freddy Krueger, still causes nightmares to this day.",Horror,1981-1990
155,Them!,https://www.rottentomatoes.com//m/1021186-them,1954,Sci-fi,English,1h 34m,Gordon Douglas,7.2,21369,"While investigating a series of mysterious deaths, Sergeant Ben Peterson (James Whitmore) finds a young girl (Sandy Descher) who is unable to speak. As Peterson joins forces with FBI agent Robert Graham (James Arness) and scientist Dr. Harold Medford (Edmund Gwenn), he discovers that all the incidents are due to giant ants that have been mutated by atomic radiation. Peterson and Graham, with the aid of the military, attempt to find the queen ants and destroy the nests before the danger spreads.","One of the best creature features of the early atomic age, Them! features effectively menacing special effects and avoids the self-parody that would taint later monster movies.",Sci-fi,1951-1960
156,The Love Witch,https://www.rottentomatoes.com//m/the_love_witch,2016,"Horror, Comedy, Drama",English,2h 0m,Anna Biller,6.2,15160,"Elaine (Samantha Robinson), a beautiful young witch, is determined to find a man to love her. In her gothic Victorian apartment she makes spells and potions, then picks up men and seduces them. However, her spells work too well, and she ends up with a string of hapless victims. When she at last meets the man of her dreams, her desperation to be loved drives her to the brink of insanity and murder.","The Love Witch offers an absorbing visual homage to a bygone era, arranged subtly in service of a thought-provoking meditation on the battle of the sexes.",Horror,2011-2020
157,Harpoon,https://www.rottentomatoes.com//m/harpoon_2019,2019,"Comedy, Mystery & thriller",English,1h 23m,Rob Grant,6,5053,"Rivalries, dark secrets, and sexual tension emerge when three friends find themselves stranded on a yacht in the middle of the ocean under suspicious circumstances.","A B-movie with an A-level commitment to entertain, Harpoon should hit the target with horror fans in the mood for gory, darkly humorous antics on the open water.",Comedy,2011-2020
158,Room 237,https://www.rottentomatoes.com//m/room_237_2012,2013,Documentary,English,1h 42m,Rodney Ascher,6.2,21831,"Filmmaker Rodney Ascher analyzes Stanley Kubrick??s film adaptation of Stephen King??s classic horror novel ""e Shining.""""a","Mysterious and provocative, Room 237 is a fascinating journey into the world of obsessive cinephilles.",Documentary,2011-2020
